year,abs_disp,rel_disp
2000,0.012220826063970333,1.5280533599540511
2001,0.012427163266945564,1.5013002749115616
2002,0.012111752710800377,1.4701816532564191
2003,0.01099609607099514,1.4230448699847813
2004,0.008808109294558525,1.3232655407659877
2005,0.008097954348870333,1.3126033166486173
2006,0.008103372198453723,1.2957367181796813
2007,0.0071404207836773675,1.265066653675996
2008,0.007725089169340824,1.2764008062398582
2009,0.00762316482277281,1.284946967563425
2010,0.006956427818608089,1.260458390199106
2011,0.0074705438955115985,1.2804487586755084
2012,0.008941710703696312,1.3314654676788196
2013,0.008951411810363692,1.3443125446716988
2014,0.00790353861674569,1.2881787499730357
2015,0.006106578530602862,1.2159682641097096
2016,0.005776791607465134,1.2009716978825566
2017,0.006263360648761044,1.2130577307984713
2018,0.006147509432436266,1.2131281758140984
2019,0.004596996372596338,1.1578346285709389
2020,0.004562597767337383,1.1604269987987812
2021,0.0040093755556715495,1.137146923833768
2022,0.005092194323956193,1.179302304854025
2023,0.005377151033532663,1.1862299572959907
