year,pair,r
2000,low_mid,0.9158294440731867
2000,low_high,0.8344723387841183
2000,mid_high,0.9034178567645081
2001,low_mid,0.9150795993833178
2001,low_high,0.7814918300391953
2001,mid_high,0.8857389721512587
2002,low_mid,0.920414081033331
2002,low_high,0.8194857406849012
2002,mid_high,0.8927905240430999
2003,low_mid,0.921251651182916
2003,low_high,0.827198945282929
2003,mid_high,0.8904643538547475
2004,low_mid,0.9234735911756939
2004,low_high,0.847141341896265
2004,mid_high,0.8947720627979989
2005,low_mid,0.9185839854074641
2005,low_high,0.7950659342488191
2005,mid_high,0.8716672688656681
2006,low_mid,0.9094858681699454
2006,low_high,0.7971484679446864
2006,mid_high,0.8895406849847637
2007,low_mid,0.8947235118999064
2007,low_high,0.7864286374105447
2007,mid_high,0.8698466805452735
2008,low_mid,0.9265019719567965
2008,low_high,0.8264851668593125
2008,mid_high,0.8926233458763946
2009,low_mid,0.9245797085947289
2009,low_high,0.8180272183618642
2009,mid_high,0.8909333172335079
2010,low_mid,0.8997299999636501
2010,low_high,0.7824391703538732
2010,mid_high,0.884258039834075
2011,low_mid,0.9178681077364913
2011,low_high,0.786259612982261
2011,mid_high,0.8902030247557656
2012,low_mid,0.9211119871493789
2012,low_high,0.7852150928475755
2012,mid_high,0.8784068566515669
2013,low_mid,0.8839573761502778
2013,low_high,0.7442908791624596
2013,mid_high,0.9003242182768784
2014,low_mid,0.9088689588215834
2014,low_high,0.7646159624272818
2014,mid_high,0.86707783290791
2015,low_mid,0.9128527958069543
2015,low_high,0.8145531192912155
2015,mid_high,0.9030707788633148
2016,low_mid,0.9126975082764164
2016,low_high,0.7505404314967109
2016,mid_high,0.857164188132405
2017,low_mid,0.9129664264345712
2017,low_high,0.7038554583190507
2017,mid_high,0.8234904583145859
2018,low_mid,0.9187138472668459
2018,low_high,0.74185422947699875
2018,mid_high,0.8605205039316982
2019,low_mid,0.9221231011473932
2019,low_high,0.723040763826193
2019,mid_high,0.8014061585444127
2020,low_mid,0.918235291545917
2020,low_high,0.7012276768990878
2020,mid_high,0.8080023499954218
2021,low_mid,0.9242278819955781
2021,low_high,0.6995409075203517
2021,mid_high,0.8256304148987308
2022,low_mid,0.9104154963295091
2022,low_high,0.6972422328118691
2022,mid_high,0.841023200824193
2023,low_mid,0.9216396328274196
2023,low_high,0.7320112057298794
2023,mid_high,0.8264457394257189
