year,low_mid,low_high,mid_high
2000,0.5591992918017826,0.7446487375285195,0.8360508546261249
2001,0.3716963968120621,0.6031557317091777,0.7624097874571285
2002,0.47978808908614,0.65351129203251,0.7775212673599963
2003,0.4226501703669304,0.5467039036747274,0.8260907955787922
2004,0.4783897899045553,0.5913664573793294,0.8490467597894382
2005,0.5660614448023014,0.6763560716680966,0.8490614642782944
2006,0.5149017991596833,0.6208227462004918,0.7559739578814716
2007,0.535956210836102,0.6764721972206593,0.8275704149194059
2008,0.5781985753814757,0.5799660823574357,0.8237966320733101
2009,0.38477216687346133,0.5256200241934478,0.8372758444650605
2010,0.6413543949304504,0.6669224697371269,0.7304112082705431
2011,0.6458030616731701,0.6266795944451287,0.839385088660739
2012,0.5579623704055183,0.6153476477580804,0.7997447702031673
2013,0.5449770395175004,0.6338218725305033,0.823563928059344
2014,0.6818734197173556,0.5753028881893787,0.7808520774409519
2015,0.5973789947813847,0.6297604054092228,0.7721350018868358
2016,0.5955811488053403,0.47027040845426765,0.7748900707552338
2017,0.7817404679114354,0.771526851765359,0.8041197166165647
2018,0.7848685967755394,0.8013943546956318,0.7693117854124881
2019,0.7622192957178244,0.6733781095710484,0.8173971617178554
2020,0.8775741093501284,0.8145893258678303,0.9008451739096986
2021,0.6091242023790421,0.5473399795732253,0.8366765455922274
2022,0.747349441933622,0.6287867792984787,0.8352147444556757
2023,0.7593472456707923,0.7681483763196181,0.8444402510154638
